SID,EDFPath,AnnotPath,run,lab,sex,age,age_category,genotype2
sub-083,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-083/eeg/sub-083_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-083/eeg/sub-083_task-sleep_run-1_events.tsv,1,lab_2,Male,4-7 months,adult,WT
sub-083,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-083/eeg/sub-083_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-083/eeg/sub-083_task-sleep_run-2_events.tsv,2,lab_2,Male,4-7 months,adult,WT
sub-084,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-084/eeg/sub-084_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-084/eeg/sub-084_task-sleep_run-1_events.tsv,1,lab_2,Male,4-7 months,adult,WT
sub-084,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-084/eeg/sub-084_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-084/eeg/sub-084_task-sleep_run-2_events.tsv,2,lab_2,Male,4-7 months,adult,WT
sub-085,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-085/eeg/sub-085_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-085/eeg/sub-085_task-sleep_run-1_events.tsv,1,lab_2,Male,4-7 months,adult,WT
sub-085,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-085/eeg/sub-085_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-085/eeg/sub-085_task-sleep_run-2_events.tsv,2,lab_2,Male,4-7 months,adult,WT
sub-086,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-086/eeg/sub-086_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-086/eeg/sub-086_task-sleep_run-1_events.tsv,1,lab_2,Male,4-7 months,adult,WT
sub-086,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-086/eeg/sub-086_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-086/eeg/sub-086_task-sleep_run-2_events.tsv,2,lab_2,Male,4-7 months,adult,WT
sub-087,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-1_events.tsv,1,lab_5,Male,8m,adult,WT
sub-087,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-2_events.tsv,2,lab_5,Male,20m,old,WT
sub-087,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-3_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-3_events.tsv,3,lab_5,Male,8m,adult,WT
sub-087,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-4_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-4_events.tsv,4,lab_5,Male,26m,old,WT
sub-087,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-5_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-5_events.tsv,5,lab_5,Male,20m,old,WT
sub-087,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-6_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-6_events.tsv,6,lab_5,Male,26m,old,WT
sub-088,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-088/eeg/sub-088_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-088/eeg/sub-088_task-sleep_run-1_events.tsv,1,lab_5,Male,8m,adult,WT
sub-088,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-088/eeg/sub-088_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-088/eeg/sub-088_task-sleep_run-2_events.tsv,2,lab_5,Male,8m,adult,WT
sub-089,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-089/eeg/sub-089_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-089/eeg/sub-089_task-sleep_run-1_events.tsv,1,lab_5,Male,3m,juvenile,WT
sub-089,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-089/eeg/sub-089_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-089/eeg/sub-089_task-sleep_run-2_events.tsv,2,lab_5,Male,3m,juvenile,WT
sub-090,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-090/eeg/sub-090_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-090/eeg/sub-090_task-sleep_run-1_events.tsv,1,lab_5,Male,3m,juvenile,WT
sub-090,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-090/eeg/sub-090_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-090/eeg/sub-090_task-sleep_run-2_events.tsv,2,lab_5,Male,3m,juvenile,WT
sub-091,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-1_events.tsv,1,lab_5,Male,26m,old,WT
sub-091,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-2_events.tsv,2,lab_5,Male,20m,old,WT
sub-091,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-3_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-3_events.tsv,3,lab_5,Male,26m,old,WT
sub-091,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-4_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-091/eeg/sub-091_task-sleep_run-4_events.tsv,4,lab_5,Male,20m,old,WT
sub-092,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-092/eeg/sub-092_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-092/eeg/sub-092_task-sleep_run-1_events.tsv,1,lab_5,Male,3m,juvenile,WT
sub-092,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-092/eeg/sub-092_task-sleep_run-2_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-092/eeg/sub-092_task-sleep_run-2_events.tsv,2,lab_5,Male,3m,juvenile,WT
